PC1,PC2,PC3,PC4,PC5
0.034431983,0.738515,1.1560626,-0.60173506,-0.008642793
0.050210636,0.67144954,1.1948488,-0.62889487,0.15126538
0.5684437,0.4260832,1.2218187,-0.5772341,0.6079706
0.6444649,0.44885886,1.1923327,-0.5367864,0.45375037
0.65811104,0.46417844,1.1668816,-0.51752776,0.37066424
0.6888874,0.47537243,1.1262474,-0.49015832,0.2615267
0.75454515,0.49083626,1.0565581,-0.46414375,0.04988897
0.9045329,0.38252246,0.9215821,-0.5140058,0.40500212
0.93796724,0.40889704,0.8571249,-0.50983226,0.05867827
0.67111576,0.4054333,0.9552684,-0.60338724,0.43802142
0.7442089,0.649572,1.364391,-0.30205262,-0.38319707
0.6644179,0.6106831,1.51951,-0.4307109,-0.34517074
0.25266168,0.6671876,1.6063639,-0.5807116,-0.13838851
-0.0198237,0.7075354,1.4454297,-0.6447967,-0.10967648
-0.111271575,0.7914039,1.2809753,-0.6097145,-0.047519445
-0.073725775,0.79436433,1.2345169,-0.59106505,0.0031477213
-0.024585808,0.78816926,1.1575756,-0.5679616,-0.0661906
0.033022914,0.7628628,1.105068,-0.5625287,-0.1083591
0.10117678,0.7112161,1.1076475,-0.5833072,-0.05871761
0.16776146,0.6651422,1.1192367,-0.5959927,0.0059131384
0.22834949,0.6340023,1.1226909,-0.59803355,0.06778586
0.21400537,0.5979904,1.1668423,-0.6157555,0.2731402
0.31099582,0.50423324,1.2684642,-0.58592176,0.5767094
0.48724514,0.6166738,1.1771247,-0.45660084,0.033996463
0.5802897,0.6156975,1.1697562,-0.43283546,-0.05641055
0.5982924,0.6242744,1.1492884,-0.43305957,-0.09623158
0.69444877,0.61227524,1.1178808,-0.4052906,-0.19782043
0.9226687,0.53969514,1.0845066,-0.38487488,-0.31659687
1.0315256,0.4475199,0.99389803,-0.43012285,-0.28569013
0.89733833,0.39826834,0.87705123,-0.5196804,-0.1309948
0.5357669,0.43928158,0.90751815,-0.57325673,0.47011244
0.455236,0.7622758,1.3933523,-0.2730174,-0.42808443
0.49283302,0.6794721,1.5724096,-0.40994215,-0.44436592
0.21907787,0.6627394,1.646669,-0.58824867,-0.2199279
-0.0057586543,0.6787015,1.4167502,-0.6490216,-0.1917249
-0.09284193,0.7856182,1.2214416,-0.580612,-0.12673831
-0.038353756,0.80639994,1.1594782,-0.5424798,-0.11724901
0.008012954,0.7961825,1.0874159,-0.52249277,-0.17929721
0.015363257,0.77146876,1.071937,-0.54136056,-0.113652825
0.08405085,0.7281774,1.0655355,-0.55864644,-0.09589982
0.16254878,0.6888565,1.0646111,-0.5668904,-0.08255947
0.2292658,0.6601769,1.0532678,-0.5672147,-0.050682545
0.28368086,0.6423737,1.0395415,-0.55233467,-0.0032231808
0.233568,0.61293423,1.0903492,-0.57549477,0.23668802
0.17272794,0.5849167,1.2185025,-0.5727737,0.39886892
0.22186382,0.7031957,1.1806092,-0.4964707,0.01453352
0.23662947,0.7191373,1.1779716,-0.49232572,-0.03729546
0.26437527,0.7305244,1.1511902,-0.48199838,-0.1198647
0.34597093,0.7273153,1.1246698,-0.45593822,-0.21335292
0.5538376,0.6557654,1.1124568,-0.4427936,-0.3222415
0.7997115,0.52641356,1.0100654,-0.46610177,-0.39114588
0.84099174,0.42796624,0.8401396,-0.5389673,-0.29968256
0.48568875,0.3712548,0.7609705,-0.6497347,0.2724359
0.105826065,0.8037087,1.404123,-0.29372656,-0.2726305
0.3104041,0.74733746,1.5780647,-0.38505793,-0.5201132
0.18893613,0.6684059,1.6777321,-0.5877033,-0.29614723
0.010538969,0.6516694,1.3710476,-0.64993376,-0.30050266
-0.073404476,0.77941287,1.1497066,-0.55392724,-0.2214433
-0.0077127516,0.82000077,1.0668467,-0.4921857,-0.24746591
-0.0025652424,0.8034502,1.0301079,-0.49440408,-0.19458508
-0.015680011,0.7848946,1.026398,-0.51574135,-0.10673404
0.036942158,0.7572659,1.0190082,-0.5302543,-0.08915484
0.11358009,0.72416866,1.0159533,-0.53632605,-0.093773484
0.18148898,0.69776213,1.0012074,-0.5346151,-0.09012437
0.24496733,0.6815394,0.9783847,-0.5152884,-0.07789862
0.2244399,0.65442145,1.0102726,-0.52674794,0.10474229
0.07029569,0.58402264,1.1354905,-0.60483813,0.35709095
0.033506576,0.70409405,1.137198,-0.5596591,0.105240345
-0.04164324,0.7484113,1.1436567,-0.5648936,0.04872513
-0.059282996,0.779487,1.103576,-0.5555057,-0.026405215
-0.029336423,0.7958642,1.0666001,-0.53972256,-0.0945555
0.03370524,0.79661477,1.0430577,-0.5155314,-0.17731452
0.13584323,0.768803,1.0253756,-0.5018959,-0.26630366
0.41002756,0.6414486,0.98619735,-0.5059849,-0.34480524
0.57292384,0.52099574,0.8435964,-0.551524,-0.3223878
0.5223404,0.3975073,0.7028457,-0.6180265,0.055587053
0.31082913,0.4741043,0.9258136,-0.6078932,0.6755607
0.049974922,0.83074486,1.5336179,-0.3599664,-0.5364904
0.13938302,0.65522206,1.6887827,-0.58944464,-0.3827371
0.0048015937,0.6226951,1.3218241,-0.6514417,-0.35286272
-0.09751813,0.7833792,1.0807447,-0.5280242,-0.25548255
-0.02465956,0.8245112,1.0034981,-0.46302336,-0.27184606
